?곕룄,遺꾧린,?쒖슱,寃쎄린,媛뺤썝,異⑸턿,異⑸궓,?꾨턿,?꾨궓,寃쎈턿,寃쎈궓,?쒖＜,珥앺빀
2018??1,5,75,0,3,0,0,0,1,4,0,88,
2019??1,0,7,0,17,2,0,0,11,10,0,47,
2020??1,0,0,0,15,0,3,3,9,8,0,38,
2021??1,0,0,0,0,0,1,2,13,0,0,16,
2022??1,0,11,5,2,12,99,164,144,159,139,735,
2023??1,0,22,2,1,0,0,0,8,0,9,42,
2018??2,1,2,9,9,17,6,15,12,2,0,73,
2019??2,5,63,13,11,3,23,6,40,0,1,165,
2020??2,0,16,45,26,11,3,14,41,12,21,189,
2021??2,0,0,23,16,8,0,7,51,21,0,126,
2022??2,20,165,82,77,99,0,15,72,45,0,575,
2023??2,0,0,4,20,31,1,4,61,4,3,128,
2018??3,0,118,19,28,3,14,0,51,5,0,238,
2019??3,2,1,12,8,6,0,18,30,0,0,79,
2020??3,0,4,9,1,10,0,0,27,8,0,59,
2021??3,0,134,0,60,6,0,4,5,1,0,210,
2022??3,0,0,22,8,15,27,11,24,4,0,111,
2023??3,0,0,4,10,3,0,0,64,12,2,95,
